loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 129442803,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.67, 775,   0,   0,   0,  -5,  -9, 2038, 160, 158, 158, 161, 17556, 0, 0, IDLE, 0, 0
  1, 129443787,   0,   0,   0,   0,   0,   0,  -1,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 240.0, 2.67, 775,   0,   0,   0,  12, -10, 2027, 162, 162, 158, 159, 17749, ANGLE_MODE, 0, IDLE, 1, 1
  2, 129444771,  -1,   0,   0,   0,   0,   0,  -2,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.9, 2.67, 775,   1,   0,  -1,  16, -11, 2022, 165, 163, 158, 158, 17749, ANGLE_MODE, 0, IDLE, 1, 1
  3, 129445755,  -1,   0,   1,   0,   0,   0,  -3,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.9, 2.67, 775,   1,   0,  -2,  22, -14, 2024, 167, 163, 158, 158, 17749, ANGLE_MODE, 0, IDLE, 1, 1
  4, 129446739,   0,   0,   2,   0,   0,   0,  -1,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.9, 2.67, 775,   0,   0,  -3,   8,   2, 2038, 164, 159, 158, 161, 17749, ANGLE_MODE, 0, IDLE, 1, 1
  5, 129447723,   0,   0,   3,   0,   0,   0,   1,   1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.9, 2.67, 775,   0,   0,  -3,   3,   7, 2055, 165, 158, 161, 166, 17749, ANGLE_MODE, 0, IDLE, 1, 1
  6, 129448707,   1,   0,   4,   0,   0,   0,   3,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.9, 2.67, 775,  -1,   0,  -3,  -6,   8, 2072, 164, 158, 165, 174, 17749, ANGLE_MODE, 0, IDLE, 1, 1
  7, 129449695,   2,  -1,   4,   0,   0,   0,   4,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.9, 2.67, 775,  -1,   1,  -3,  -3,  16, 2072, 161, 158, 164, 176, 17749, ANGLE_MODE, 0, IDLE, 1, 1
  8, 129450675,   2,  -1,   3,   0,   0,   0,   4,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.9, 2.67, 774,  -1,   1,  -1,  -6,  18, 2064, 158, 160, 162, 176, 17749, ANGLE_MODE, 0, IDLE, 1, 1
  9, 129451659,   1,  -1,   2,   0,   0,   0,   1,  -3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.9, 2.67, 774,   0,   1,   0,   8,  20, 2053, 158, 163, 159, 169, 17749, ANGLE_MODE, 0, IDLE, 1, 1
 10, 129452643,   0,  -1,   0,   0,   0,   0,  -1,  -1,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.9, 2.67, 774,   0,   1,   2,  22,  17, 2041, 159, 163, 158, 161, 17749, ANGLE_MODE, 0, IDLE, 1, 1
 11, 129453627,  -1,   0,  -2,   0,   0,   0,  -4,   2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.9, 2.67, 774,   1,   0,   3,  30,  12, 2025, 173, 172, 165, 158, 17749, ANGLE_MODE, 0, IDLE, 1, 1
 12, 129454612,  -3,   2,  -3,   0,   0,   0,  -7,   5,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.9, 2.67, 774,   2,  -1,   3,  36,  22, 2010, 189, 182, 177, 158, 17749, ANGLE_MODE, 0, IDLE, 1, 1
 13, 129455596,  -3,   2,  -4,   0,   0,   0,  -8,   7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.9, 2.67, 774,   2,  -1,   4,  35,  33, 2001, 197, 188, 184, 158, 17749, ANGLE_MODE, 0, IDLE, 1, 1
 14, 129456579,  -2,   2,  -5,   0,   0,   0,  -6,   7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.9, 2.67, 774,   2,  -1,   4,  35,  33, 2001, 190, 183, 184, 158, 17749, ANGLE_MODE, 0, IDLE, 1, 1
