loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 49098688,  -1, -11, -15,   0,   0,   0, -13,  -4,   0,   0,   0,   1,   1, -52, 1000,   3,  -6, -14,   0, 245.2, 3.57, 620,   3,   1,  -4, 113, 283, 2015, 158, 216, 160, 161, 63523, 0, 0, IDLE, 0, 0
  1, 49099672,  -2, -10, -16,   0,   0,   0, -17,   1,   0,   0,   0,   1,   1, -52, 1000,   3,  -6, -14,   0, 245.2, 1.52, 620,   4,   0,   0, 163, 231, 2056, 177, 225, 173, 158, 63564, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  2, 49100659,  -1,  -6, -20,   0,   0,   0, -13,  10,   0,   0,   0,   1,   1, -52, 1000,   3,  -6, -14,   0, 245.2, 1.52, 620,   3,  -3,   4, 122,  48, 2083, 192, 221, 203, 158, 63564, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  3, 49101641,   0,  -2, -22,   0,   0,   0,  -8,  20,   0,   0,   0,   1,   1, -52, 1000,   3,  -6, -14,   0, 245.2, 1.52, 620,   3,  -5,   3,  24, -182, 2081, 207, 216, 233, 158, 63564, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  4, 49102623,   2,  -3, -23,   0,   0,   0,  -1,  20,   0,   0,   0,   1,   1, -52, 1000,   3,  -6, -14,   0, 245.2, 1.52, 620,   1,  -4,   3,  24, -182, 2081, 188, 199, 234, 158, 63564, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  5, 49103607,   6,  -8, -24,   0,   0,   0,  10,   6,   0,   0,   0,   1,   1, -52, 1000,   3,  -6, -14,   0, 237.5, 1.52, 620,  -2,  -1,   3, -104, -343, 2053, 158, 206, 234, 193, 63564, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  6, 49104591,   7, -13, -24,   0,   0,   0,  16, -12,   0,   0,   0,   1,   1, -52, 1000,   3,  -6, -14,   0, 237.5, 1.52, 620,  -3,   2,   3, -237, -444, 2030, 158, 249, 247, 248, 63564, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  7, 49105576,   6, -14, -23,   0,   0,   0,  11, -19,   0,   0,   0,   1,   1, -52, 1000,   3,  -6, -14,   0, 237.5, 1.52, 620,  -1,   3,   0, -344, -441, 2046, 158, 263, 232, 251, 63564, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  8, 49106558,   6, -12, -20,   0,   0,   0,   7, -15,   0,   0,   0,   1,   1, -52, 1000,   3,  -6, -14,   0, 237.5, 1.52, 620,  -2,   2,  -3, -340, -285, 2082, 158, 248, 221, 235, 63564, ANGLE_MODE|MAG, 0, IDLE, 1, 1
  9, 49107542,   9, -14, -18,   0,   0,   0,  10, -12,   0,   0,   0,   1,   1, -52, 1000,   3,  -6, -14,   0, 237.5, 1.52, 620,  -4,   3,  -4, -214, -43, 2100, 158, 241, 229, 245, 63564, ANGLE_MODE|MAG, 0, IDLE, 1, 1
 10, 49108525,   8, -17, -17,   0,   0,   0,  10, -16,   0,   0,   0,   1,   1, -52, 1000,   3,  -6, -14,   0, 237.5, 1.52, 620,  -3,   5,  -3, -20, 156, 2071, 158, 250, 224, 253, 63564, ANGLE_MODE|MAG, 0, IDLE, 1, 1
