loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], setpoint[0], setpoint[1], setpoint[2], setpoint[3], vbatLatest (V), amperageLatest (A), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], energyCumulative (mAh), flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 144313574,   1,  -1, -14,   0,   0,   0,   3,   0,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.7, 0.65, 815,   0,   1,   7,  43, -25, 2003, 158, 185, 191, 167, 35753, 0, 0, IDLE, 0, 0
  1, 144314558,   0,   1, -10,   0,   0,   0,   2,   5,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.7, 0.65, 815,   0,  -1,   3,  89, -53, 1999, 165, 173, 189, 158, 35805, ANGLE_MODE, 0, IDLE, 1, 1
  2, 144315545,   0,   2,  -5,   0,   0,   0,   0,   8,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.7, 0.65, 815,   0,  -1,  -2, 126, -94, 1993, 176, 168, 186, 158, 35805, ANGLE_MODE, 0, IDLE, 1, 1
  3, 144316526,  -1,   2,   1,   0,   0,   0,  -2,   8,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.7, 0.65, 816,   1,  -1,  -8, 127, -110, 1993, 182, 162, 175, 158, 35805, ANGLE_MODE, 0, IDLE, 1, 1
  4, 144317510,  -1,   2,   7,   0,   0,   0,  -2,   6,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.7, 0.65, 816,   1,  -1, -13,  78, -97, 1986, 188, 158, 169, 167, 35805, ANGLE_MODE, 0, IDLE, 1, 1
  5, 144318494,  -1,   1,  14,   0,   0,   0,  -1,   3,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.7, 0.65, 816,   0,  -1, -17,  29, -74, 1989, 192, 158, 162, 181, 35805, ANGLE_MODE, 0, IDLE, 1, 1
  6, 144319478,  -1,   0,  20,   0,   0,   0,  -1,  -2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.7, 1.40, 816,   1,   0, -20, -37, -42, 1986, 199, 166, 158, 200, 35805, ANGLE_MODE, 0, IDLE, 1, 1
  7, 144320466,   0,  -2,  24,   0,   0,   0,   0,  -7,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.7, 1.40, 816,   0,   2, -20, -103,   9, 1985, 205, 176, 158, 221, 35805, ANGLE_MODE, 0, IDLE, 1, 1
  8, 144321446,   0,  -4,  26,   0,   0,   0,   1, -12,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.7, 1.40, 816,   0,   3, -20, -162,  50, 1986, 206, 187, 158, 239, 35805, ANGLE_MODE, 0, IDLE, 1, 1
  9, 144322430,   0,  -8,  26,   0,   0,   0,   1, -19,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.7, 1.40, 816,   0,   5, -18, -172,  70, 1992, 207, 207, 158, 258, 35805, ANGLE_MODE, 0, IDLE, 1, 1
 10, 144323414,  -1, -10,  25,   0,   0,   0,   0, -23,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 239.7, 1.40, 816,   0,   7, -15, -150,  70, 2005, 207, 222, 158, 268, 35805, ANGLE_MODE, 0, IDLE, 1, 1
 11, 144324398,   0, -10,  22,   0,   0,   0,   0, -21,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.6, 1.40, 816,   0,   7, -12, -121,  62, 2017, 200, 217, 158, 261, 35805, ANGLE_MODE, 0, IDLE, 1, 1
 12, 144325385,   0,  -8,  19,   0,   0,   0,   1, -12,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.6, 1.40, 816,   0,   5,  -8, -78,  60, 2026, 189, 192, 158, 230, 35805, ANGLE_MODE, 0, IDLE, 1, 1
 13, 144326366,   1,  -4,  13,   0,   0,   0,   3,   2,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.6, 1.40, 816,  -1,   3,  -3, -22,  57, 2041, 180, 158, 161, 190, 35805, ANGLE_MODE, 0, IDLE, 1, 1
 14, 144327350,   1,   1,   7,   0,   0,   0,   3,  17,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.6, 1.40, 816,  -1,  -1,   2,  59,  49, 2058, 205, 158, 199, 178, 35805, ANGLE_MODE, 0, IDLE, 1, 1
 15, 144328334,   0,   5,   0,   0,   0,   0,   1,  27,   0,   0,   0,   1,   1,  -1, 1000,   0,   0,   0,   0, 243.6, 1.40, 816,   0,  -3,   8,  59,  49, 2058, 218, 158, 220, 160, 35805, ANGLE_MODE, 0, IDLE, 1, 1
