time,gyroX,gyroY,gyroZ,accX,accY,accZ,motor1,motor2,motor3,motor4
0,0.0,200.0,0.0,9.785723720035163,0.042250901470753915,-0.03997190810280802,1000,1200,1000,1150
1,1.999966666833333,199.9900000833331,0.4999979166692708,9.862837748925665,0.004286097136074305,0.034929418558045724,1001,1199,1001,1149
2,3.999733338666616,199.9600013333156,0.9999833334166665,9.864998695224548,-0.05780115951934187,-0.018797540931977285,1003,1199,1002,1149
3,5.999100040499132,199.91000674979756,1.499943750632809,9.853640869457012,0.0023226226843408213,-0.09639634022693845,1005,1199,1003,1149
4,7.997866837326832,199.84002133219562,1.999866669333308,9.825404480520449,0.032260692663558424,0.04244453651967012,1007,1199,1004,1149
5,9.995833854135666,199.75005207899326,2.4997395914712333,9.782509529124413,-0.06874847872629382,-0.10756931027349177,1009,1199,1005,1149
6,11.992801295888919,199.64010798704084,2.999550020249566,9.818248682578037,0.039464990985777396,-0.04153158368027545,1011,1199,1007,1149
7,13.988569467506554,199.51020005065592,3.4992854604336197,9.827123896594616,0.03652323806638854,0.019447146178467142,1013,1199,1008,1149
8,15.982938793834538,199.36034126052385,3.998933418663416,9.83430861181351,0.015792023750304456,-0.05151788218686361,1015,1199,1009,1149
9,17.97570983960221,199.19054660239883,4.498481403766023,9.77053105340357,0.1431496091738662,0.05156213215700367,1017,1199,1010,1149
10,19.966683329365633,199.0008330556051,4.997916927067833,9.82760681845042,0.011547659445121804,0.013711222028357268,1019,1199,1011,1149
11,21.955660167434964,198.79121959133934,5.497227502706774,9.766524189995296,0.006657595765543188,-0.0819387333901011,1021,1198,1013,1149
12,23.942441457783872,198.56172717077322,5.996400647944459,9.833285748643936,0.008255163182886304,-0.02402291591649501,1023,1198,1014,1149
13,25.926828523938976,198.31237874295758,6.49542388347826,9.84685804866761,0.0987126494322704,0.10252673071398832,1025,1198,1015,1149
14,27.908622928847297,198.04319924252744,6.994284733753277,9.796024684793332,-0.017153483099634003,-0.10433339855637053,1027,1198,1016,1149
15,29.887626494719843,197.75421558720842,7.492970727274234,9.779277846423437,0.012466017206153653,-0.011954684635461633,1029,1197,1017,1148
16,31.863641322849194,197.4454566751254,7.991469396917269,9.796266386887316,-0.041289332139461565,-0.013480872260420924,1031,1197,1019,1148
17,33.836469813399205,197.11695338191214,8.489768280241604,9.935459108125688,0.06414384794617177,0.02976060042663442,1033,1197,1020,1148
18,35.805914685164836,196.7687385576243,8.987854919801105,9.752331086185285,-0.0023106068389358333,-0.049115053938675136,1035,1196,1021,1148
19,37.77177899530012,196.40084702345408,9.48571686345573,9.774792338844156,-0.07571998522084968,-0.07077626877044654,1037,1196,1022,1148
20,39.73386615901225,196.01331556824834,9.983341664682817,9.739962273712537,-0.029057215320956564,-0.018710346675613106,1039,1196,1023,1148
21,41.691979969219915,195.60618294482967,10.480716882888249,9.851989667039822,0.08709706993241158,-0.013965590874484762,1041,1195,1025,1147
22,43.64592461617387,195.17948986612112,10.977830083717482,9.820580655789179,0.020039794262111443,-0.01797486820352653,1043,1195,1026,1147
23,45.59550470703769,194.733279001075,11.474668839366382,9.760021164901056,-0.00043711572636740504,0.007986253793399543,1045,1194,1027,1147
24,47.540525285426924,194.26759497040595,11.971220728891936,9.833319115769088,0.06052227537724071,0.013292465440120253,1047,1194,1028,1147
25,49.480791850904595,193.78248434212898,12.467473338522769,9.765010554830534,-0.011792519960848178,0.0052794532847482666,1049,1193,1029,1147
26,51.41611037843102,193.27799562690268,12.963414261969488,9.938390053900896,-0.08125844510611734,0.11658200198052232,1051,1193,1030,1146
27,53.34628733776624,192.75417927317812,13.459031100734833,9.821593943281346,0.027615979090773454,0.08519094116797293,1053,1192,1032,1146
28,55.27112971282276,192.2110876621542,13.954311464423649,9.829858107644734,-0.03478068132315465,-0.04568751357348644,1055,1192,1033,1146
29,57.190445020967104,191.64877510253945,14.449242971052643,9.7643622833293,0.08763588207642102,-0.06796670483276875,1057,1191,1034,1145
30,59.10404133226792,191.06729782512122,14.943813247359921,9.81057543615145,0.03467363229472783,0.01723285956864808,1059,1191,1035,1145
31,61.01172728868871,190.4667139771427,15.438009929114344,9.770333013323034,0.07985865320128988,0.014342066478209715,1061,1190,1036,1145
32,62.91331212322356,189.8470836164882,15.931820661424597,9.799271761833605,-0.01894716191239041,0.0773745021895926,1062,1189,1037,1145
33,64.80860567897369,189.20846870567738,16.425233099048096,9.817037026871066,0.03609836035080133,0.08440741600539864,1064,1189,1039,1144
34,66.69741842816289,188.55093310566923,16.918234906699603,9.766792743812136,-0.03501100301619572,-0.013960468677436258,1066,1188,1040,1144
35,68.57956149109027,187.87454256947575,17.4108137593596,9.754096620671438,-0.021633097583759666,-0.0370296435118661,1068,1187,1041,1144
36,70.454846655018,187.17936473558697,17.902957342582418,9.741767675786278,-0.07095167215853186,0.0019793835507645567,1070,1187,1042,1143
37,72.3230863929924,186.46546912120684,18.39465335280412,9.83144829218758,0.059866607233395465,0.026805824663567818,1072,1186,1043,1143
38,74.18409388259654,185.73292711530206,18.88588949765006,9.912202898774098,0.043806797465643615,-0.08050141173276355,1074,1185,1044,1143
39,76.0376830246323,184.98181197146258,19.376653496242195,9.81243360124211,0.044453882709953846,0.010553134398944918,1076,1184,1046,1142
40,77.88366846173011,184.212198800577,19.866933079506126,9.750324281745897,0.021221961126186045,0.007333511714103179,1077,1184,1047,1142
41,79.72186559688458,183.42416456332097,20.356715990477802,9.845839223374776,0.015083981110012046,0.030248531786806677,1079,1183,1048,1142
42,81.55209061191404,182.6177880624616,20.845989984609957,9.823571988761293,-0.03636361548794181,-0.013978096609622324,1081,1182,1049,1141
43,83.37416048584215,181.79314993497698,21.33474283007823,9.894087792811725,-0.02949617918271081,-0.014380526150446852,1083,1181,1050,1141
44,85.18789301319993,180.95033264399265,21.822962308086936,9.803434555946483,0.024797642377022915,-0.018167566345513312,1085,1180,1051,1140
45,86.99310682224605,180.08942047053534,22.310636213174547,9.838023503699901,0.01587429400590272,0.02022771212909677,1086,1180,1052,1140
46,88.78962139310396,179.21049950510502,22.797752353518845,9.778322616174286,0.022443995275829732,0.01276853348526775,1088,1179,1053,1139
47,90.57725707581366,178.31365763906578,23.284298551241683,9.75774346428879,0.03993658145997214,0.07935212267687415,1090,1178,1055,1139
48,92.35583510829657,177.3989845558568,23.770262642713462,9.830096279716146,0.03158265591306107,0.018456838128204377,1092,1177,1056,1139
49,94.1251776342316,176.46657172202427,24.25563247885721,9.914428608482623,0.03771971648846057,0.0270292499288145,1094,1176,1057,1138
50,95.8851077208406,175.5165123780745,24.740395925452297,9.822898067364083,0.016990725108387957,-0.006926404828748511,1095,1175,1058,1138
51,97.63544937658149,174.54890152915024,25.22454086343781,9.814590635628454,-0.0242081094728782,-0.045075444004625556,1097,1174,1059,1137
52,99.37602756874733,173.56383593552997,25.70805518921551,9.777706086203835,0.049309526934321446,-0.0015081391556572598,1099,1173,1060,1137
53,101.10666824096938,172.56141410295217,26.190926814952448,9.80586620829464,-0.011238399713652859,-0.0022487083089565356,1101,1172,1061,1136
54,102.82719833062262,171.5417362727648,26.67314366888312,9.803503709473953,-0.03621112180798814,0.040562249413577285,1102,1171,1062,1136
55,104.53744578613183,170.50490441190112,27.154693695611293,9.872725504907711,-0.11627730051062334,0.02894875019134087,1104,1170,1063,1135
56,106.23723958417668,169.45102220268322,27.63556485641138,9.809342002118331,-0.05115543482034736,-0.08345342100898102,1106,1169,1064,1135
57,107.92640974679384,168.38019503245374,28.115745129529408,9.860460093744274,0.015080215774971019,-0.09832794045598148,1107,1168,1066,1134
58,109.6047873583747,167.2925299830374,28.595222510483552,9.907143600322632,-0.08397810037034864,-0.054381144127709925,1109,1167,1067,1134
59,111.27220458255674,166.1881358200327,29.07398501236428,9.811506781323047,-0.03317719746019622,-0.0433332581111261,1111,1166,1068,1133
